name,year,count
Kobe,2001,1571
Larry,2001,1029
Magic,2001,6
Michael,2001,29771
Moses,2001,535
Shaquille,2001,43
Stephen,2001,3736
Steve,2001,623
Tim,2001,79
Allen,2002,1383
Charles,2002,7210
David,2002,18700
Derrick,2002,1442
Dirk,2002,25
Hakeem,2002,83
Julius,2002,627
Karl,2002,330
Kevin,2002,12074
Kobe,2002,1408
Larry,2002,952
Magic,2002,5
Michael,2002,28337
Moses,2002,507
Shaquille,2002,30
Stephen,2002,3354
Steve,2002,543
Tim,2002,79
Allen,2003,1314
Charles,2003,7700
David,2003,18633
Derrick,2003,1384
Dirk,2003,47
Hakeem,2003,86
Julius,2003,678
Karl,2003,299
Kevin,2003,11755
Kobe,2003,1227
Larry,2003,949
Magic,2003,5
Michael,2003,27201
Moses,2003,499
Shaquille,2003,34
Stephen,2003,3146
Steve,2003,562
Tim,2003,88
Allen,2004,1302
Charles,2004,7702
David,2004,18438
Derrick,2004,1328
Dirk,2004,27
Hakeem,2004,79
Julius,2004,712
Karl,2004,281
Kevin,2004,11258
Kobe,2004,633
Larry,2004,897
Magic,2004,7
Michael,2004,25586
Moses,2004,490
Shaquille,2004,24
Stephen,2004,2856
Steve,2004,484
Tim,2004,60
Allen,2005,1228
Charles,2005,7940
David,2005,18122
Derrick,2005,1379
Dirk,2005,50
Hakeem,2005,76
Julius,2005,841
Karl,2005,264
Kevin,2005,10935
Kobe,2005,449
Larry,2005,827
Magic,2005,5
Michael,2005,23856
Moses,2005,473
Shaquille,2005,17
Stephen,2005,2750
Steve,2005,475
Tim,2005,84
Allen,2006,1224
Charles,2006,8019
David,2006,17640
Derrick,2006,1361
Dirk,2006,46
Hakeem,2006,74
Julius,2006,993
Karl,2006,270
Kevin,2006,10801
Kobe,2006,479
Larry,2006,790
Magic,2006,5
Michael,2006,22689
Moses,2006,614
Shaquille,2006,18
Stephen,2006,2548
Steve,2006,470
Tim,2006,78
Allen,2007,1190
Charles,2007,7460
David,2007,17539
Derrick,2007,1293
Dirk,2007,43
Hakeem,2007,73
Julius,2007,1120
Karl,2007,241
Kevin,2007,10552
Kobe,2007,581
Larry,2007,962
Magic,2007,13
Michael,2007,22015
Moses,2007,605
Shaquille,2007,7
Stephen,2007,2375
Steve,2007,446
Tim,2007,76
Allen,2008,1145
Charles,2008,7295
David,2008,16321
Derrick,2008,1193
Dirk,2008,42
Hakeem,2008,75
Julius,2008,1097
Karl,2008,188
Kevin,2008,9797
Kobe,2008,745
Larry,2008,822
Magic,2008,12
Michael,2008,20645
Moses,2008,562
Shaquille,2008,11
Stephen,2008,2088
Steve,2008,422
Tim,2008,70
Allen,2009,1030
Charles,2009,7277
David,2009,15436
Derrick,2009,1115
Dirk,2009,38
Hakeem,2009,74
Julius,2009,1016
Karl,2009,207
Kevin,2009,8787
Kobe,2009,697
Larry,2009,781
Magic,2009,18
Michael,2009,18950
Moses,2009,538
Shaquille,2009,8
Stephen,2009,1912
Steve,2009,415
Tim,2009,69
Allen,2010,975
Charles,2010,7098
David,2010,14196
Derrick,2010,1035
Dirk,2010,27
Hakeem,2010,76
Julius,2010,933
Karl,2010,177
Kevin,2010,7325
Kobe,2010,655
Larry,2010,810
Magic,2010,6
Michael,2010,17345
Moses,2010,513
Shaquille,2010,20
Stephen,2010,1814
Steve,2010,279
Tim,2010,65
Allen,2011,1003
Charles,2011,6981
David,2011,13213
Derrick,2011,1093
Dirk,2011,40
Hakeem,2011,69
Julius,2011,882
Karl,2011,170
Kevin,2011,6566
Kobe,2011,567
Larry,2011,715
Magic,2011,10
Michael,2011,16780
Moses,2011,498
Shaquille,2011,32
Stephen,2011,1572
Steve,2011,324
Tim,2011,48
Allen,2012,962
Charles,2012,6934
David,2012,12512
Derrick,2012,1051
Dirk,2012,27
Hakeem,2012,76
Julius,2012,949
Karl,2012,161
Kevin,2012,6221
Kobe,2012,535
Larry,2012,655
Magic,2012,20
Michael,2012,16133
Moses,2012,481
Shaquille,2012,45
Stephen,2012,1561
Steve,2012,303
Tim,2012,41
Allen,2013,920
Charles,2013,7009
David,2013,12323
Derrick,2013,972
Dirk,2013,26
Hakeem,2013,87
Julius,2013,919
Karl,2013,167
Kevin,2013,5928
Kobe,2013,563
Larry,2013,580
Magic,2013,10
Michael,2013,15465
Moses,2013,596
Shaquille,2013,52
Stephen,2013,1445
Steve,2013,241
Tim,2013,51
Allen,2014,854
Charles,2014,7284
David,2014,12091
Derrick,2014,904
Dirk,2014,27
Hakeem,2014,72
Julius,2014,1119
Karl,2014,160
Kevin,2014,5873
Kobe,2014,526
Larry,2014,541
Michael,2014,15358
Moses,2014,573
Shaquille,2014,58
Stephen,2014,1433
Steve,2014,256
Tim,2014,74
